3.0,-9.36,0.66,-4.03,-3.54,-3.9,2.8
3.0,-9.31,0.69,-4.14,-2.62,-2.99,4.39
0.0,-9.26,0.72,-4.1,-2.32,-0.67,6.28
3.0,-9.1,0.72,-4.03,-2.26,-3.78,4.27
0.0,-9.26,0.68,-4.11,-2.13,-8.72,-3.23
0.0,-9.26,0.63,-4.04,-0.79,-5.98,-0.85
0.0,-9.26,0.64,-4.01,-6.16,-13.66,-7.93
0.0,-9.34,0.69,-3.99,-8.54,-9.94,1.77
0.0,-9.5,0.67,-4.11,-9.15,1.4,6.77
0.0,-9.39,0.73,-4.0,-10.98,1.89,-4.15
0.0,-9.34,0.73,-4.0,-8.23,-1.16,2.13
0.0,-9.25,0.73,-4.08,-5.0,-5.3,-2.13
0.0,-9.28,0.79,-4.04,-3.78,5.67,10.49
0.0,-9.14,0.76,-3.96,1.77,-0.79,-1.4
0.0,-9.3,0.66,-3.97,0.24,-7.26,0.73
0.0,-9.36,0.63,-3.87,-3.23,-9.7,6.1
0.0,-9.22,0.67,-3.97,-10.67,-5.98,1.71
0.0,-9.29,0.71,-3.93,-12.74,-4.27,-1.89
0.0,-9.26,0.75,-3.99,-8.96,-4.88,-4.94
0.0,-9.38,0.68,-3.9,-8.96,-1.34,1.52
0.0,-9.26,0.75,-3.88,-7.93,-1.22,-3.66
0.0,-9.56,0.76,-3.96,-10.0,0.55,0.18
0.0,-9.37,0.77,-3.98,-9.88,1.22,3.29
3.0,-9.28,0.7,-3.92,-9.39,0.43,7.07
3.0,-9.29,0.7,-4.0,-11.28,7.13,7.93
3.0,-9.26,0.72,-3.91,-16.77,10.06,-7.2
3.0,-9.3,0.86,-3.95,-13.6,12.68,-4.45
3.0,-9.39,0.85,-3.89,-5.0,16.71,10.49
3.0,-9.21,0.82,-3.9,0.85,13.6,9.15
3.0,-9.24,0.81,-3.94,1.16,7.74,-0.85
3.0,-9.32,0.76,-4.02,-1.1,1.95,-6.22
3.0,-9.31,0.72,-4.02,-3.78,5.91,-4.15
3.0,-9.21,0.76,-3.89,-3.72,10.55,-11.71
3.0,-9.24,0.72,-4.05,-4.82,7.13,-20.12
3.0,-9.28,0.75,-3.87,-0.43,2.07,-11.65
3.0,-9.32,0.68,-4.06,-1.16,-5.73,1.04
1.0,-9.25,0.66,-4.04,-6.65,-7.38,1.04
1.0,-9.22,0.68,-3.9,-10.55,-6.34,-5.91
1.0,-9.34,0.73,-3.91,-7.2,-13.41,-9.09
1.0,-9.3,0.76,-3.9,-3.54,-11.16,-3.35
1.0,-9.22,0.74,-3.89,2.56,-1.16,-0.18
1.0,-9.29,0.71,-4.02,5.06,7.44,5.55
1.0,-9.2,0.63,-3.94,2.99,5.37,0.73
1.0,-9.28,0.62,-3.98,-3.96,-3.96,1.28
1.0,-9.26,0.69,-3.9,-10.91,-11.65,4.27
3.0,-9.18,0.76,-3.93,-14.21,-12.32,-2.32
3.0,-9.33,0.81,-3.94,-12.68,-11.28,-0.06
3.0,-9.14,0.81,-3.85,-5.24,-9.63,0.43
3.0,-9.08,0.78,-3.85,-4.57,-12.5,-5.85
